replicate,seed,experiment_kind,model_choice,size_name,size,learning_rate,batch_size,epochs,tau_star,tau_hat,absolute_error,percentage_error,status
1,16138347438539916964,causal,MLPModel,hidden_size,8,0.01,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,8,0.05,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,8,0.1,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,8,0.5,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,16,0.01,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,16,0.05,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,16,0.1,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,16,0.5,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,32,0.01,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,32,0.05,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,32,0.1,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,32,0.5,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,64,0.01,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,64,0.05,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,64,0.1,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
1,16138347438539916964,causal,MLPModel,hidden_size,64,0.5,8,50,2500,,,,ERROR: AttributeError: 'dict' object has no attribute 'mlp'
